video,turn_index,start,end,topic
TV-20230110-2021-4400.webl.h264,19,396.312,405.34700000000004,-1
TV-20230110-2021-4400.webl.h264,21,409.965,421.925,26
TV-20230110-2021-4400.webl.h264,23,431.121,453.555,77
TV-20230110-2021-4400.webl.h264,24,455.314,475.17400000000004,-1
TV-20230110-2021-4400.webl.h264,25,477.155,490.669,-1
TV-20230110-2021-4400.webl.h264,26,491.119,505.593,6
TV-20230110-2021-4400.webl.h264,27,505.903,520.451,6
TV-20230110-2021-4400.webl.h264,29,527.513,541.586,77
TV-20230110-2021-4400.webl.h264,30,541.996,552.048,77
TV-20230110-2021-4400.webl.h264,31,553.419,582.218,108
TV-20230110-2021-4400.webl.h264,32,583.886,675.159,108
TV-20230110-2021-4400.webl.h264,33,676.684,697.392,71
TV-20230110-2021-4400.webl.h264,34,698.957,773.633,71
TV-20230110-2021-4400.webl.h264,35,775.524,794.764,-1
TV-20230110-2021-4400.webl.h264,36,796.079,853.068,-1
TV-20230110-2021-4400.webl.h264,37,854.273,873.194,129
TV-20230110-2021-4400.webl.h264,40,883.829,928.899,1
TV-20230110-2021-4400.webl.h264,41,931.152,948.092,53
TV-20220825-2023-4800.webl.h264,1,18.838,48.431000000000004,23
TV-20220825-2023-4800.webl.h264,2,50.122,66.258,136
TV-20220825-2023-4800.webl.h264,3,66.915,84.675,42
TV-20220825-2023-4800.webl.h264,4,84.725,102.07499999999999,42
TV-20220825-2023-4800.webl.h264,5,102.245,111.95,87
TV-20220825-2023-4800.webl.h264,7,115.772,123.316,-1
TV-20220825-2023-4800.webl.h264,9,128.633,142.608,14
TV-20220825-2023-4800.webl.h264,10,142.638,156.312,-1
TV-20220825-2023-4800.webl.h264,11,158.032,178.965,52
TV-20220825-2023-4800.webl.h264,13,195.237,203.138,-1
TV-20220825-2023-4800.webl.h264,14,203.178,215.531,-1
TV-20220825-2023-4800.webl.h264,19,241.416,257.182,-1
TV-20220825-2023-4800.webl.h264,20,257.252,272.898,12
TV-20220825-2023-4800.webl.h264,21,275.18,338.163,-1
TV-20220825-2023-4800.webl.h264,22,340.373,430.35900000000004,0
TV-20220825-2023-4800.webl.h264,23,432.779,457.093,6
TV-20220825-2023-4800.webl.h264,24,459.331,478.552,6
TV-20220825-2023-4800.webl.h264,25,479.162,497.92400000000004,6
TV-20220825-2023-4800.webl.h264,26,498.9,528.975,6
TV-20220825-2023-4800.webl.h264,27,530.266,547.544,6
TV-20220825-2023-4800.webl.h264,28,547.594,559.77,6
TV-20220825-2023-4800.webl.h264,29,561.716,590.933,7
TV-20220825-2023-4800.webl.h264,30,592.911,603.345,7
TV-20220825-2023-4800.webl.h264,31,604.056,619.212,-1
TV-20220825-2023-4800.webl.h264,32,620.419,653.569,7
TV-20220825-2023-4800.webl.h264,33,653.619,665.342,-1
TV-20220825-2023-4800.webl.h264,34,665.362,675.234,7
TV-20220825-2023-4800.webl.h264,35,677.759,703.072,97
TV-20220825-2023-4800.webl.h264,36,704.754,718.729,150
